action,clientASNDescription,clientAsn,clientCountryName,clientIP,clientRequestHTTPHost,clientRequestHTTPMethodName,clientRequestHTTPProtocol,clientRequestPath,clientRequestQuery,datetime,metadata,rayName,ruleId,rulesetId,sampleInterval,source,userAgent
block,ORACLE-BMC-31898,31898,BR,193.123.107.160,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/.env,,2022-02-21T20:24:33Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Version Control - Information Disclosure'}]",6e12b2eb3a2e7975,100016,,1,waf,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0
managed_challenge,GREENFLOID-AS,204957,US,195.123.241.30,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/,,2022-02-21T18:45:39Z,[],6e1222081e7b9818,badscore,,1,securitylevel,okhttp/3.12.13
block,AMAZON-02,16509,JP,35.73.51.109,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/%E5%8C%BB%E8%96%AC%E5%93%81%E3%83%AA%E3%82%B9%E3%82%AF%E7%AE%A1%E7%90%86%E8%A8%88%E7%94%BB%E6%9B%B8%EF%BC%88RMP%EF%BC%89.pdf,,2022-02-21T15:06:07Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Anomaly:Header:User-Agent - Fake Google Bot'}]",6e10e07218758aa2,100201,,1,waf,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
block,BIGLOBE BIGLOBE Inc.,2518,JP,122.132.174.30,www.pfizer-covid19-vaccine.jp,GET,HTTP/2,/,,2022-02-21T14:30:22Z,[],6e10ac158d991ee9,bic,,1,bic,"""Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"""
block,BIGLOBE BIGLOBE Inc.,2518,JP,122.132.174.30,www.pfizer-covid19-vaccine.jp,GET,HTTP/2,/,,2022-02-21T13:44:32Z,[],6e1068f55ed71f3b,bic,,1,bic,"""Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"""
block,"CHINANET-BACKBONE No.31,Jin-rong Street",4134,CN,240e:390:2632:49e0:1dc6:961c:b563:eba4,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/%E6%B7%BB%E4%BB%98%E6%96%87%E6%9B%B8.pdf,,2022-02-21T10:18:26Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Anomaly:Header:User-Agent - Fake Google Bot'}]",6e0f3b0cdafb96f5,100201,,1,waf,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
block,OCN NTT Communications Corporation,4713,JP,118.21.141.247,www.pfizer-covid19-vaccine.jp,GET,HTTP/2,/,,2022-02-21T10:06:36Z,[],6e0f29b56ba180cb,bic,,1,bic,"""Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"""
block,OCN NTT Communications Corporation,4713,JP,122.30.166.21,www.pfizer-covid19-vaccine.jp,GET,HTTP/2,/,,2022-02-21T09:16:15Z,[],6e0edff77ca58078,bic,,1,bic,"""Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"""
block,"SNI-JP NetComBB Co.,Ltd.",18150,JP,61.7.127.113,www.pfizer-covid19-vaccine.jp,GET,HTTP/2,/,,2022-02-21T09:04:04Z,[],6e0ece1cdd45835b,bic,,1,bic,"""Mozilla/5.0 (iPhone; CPU iPhone OS 11_0 like Mac OS X) AppleWebKit/604.1.38 (KHTML, like Gecko) Version/11.0 Mobile/15A372 Safari/604.1"""
block,PERFORMIVE,46562,US,66.115.165.199,www.pfizer-covid19-vaccine.jp,GET,HTTP/1.1,/%E3%83%AF%E3%82%AF%E3%83%81%E3%83%B3%E6%8E%A5%E7%A8%AE%E3%82%92%E5%8F%97%E3%81%91%E3%82%8B%E4%BA%BA%E3%81%B8%E3%81%AE%E3%82%AC%E3%82%A4%E3%83%89.pdf,,2022-02-21T08:34:30Z,"[{'key': 'group', 'value': 'cloudflare_specials'}, {'key': 'rule_message', 'value': 'Anomaly:Header:User-Agent - Fake Google Bot'}]",6e0ea2cb7d92942e,100201,,1,waf,Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)
